,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
178,"Sat, Jan 16, 2021",5:00p,Houston Rockets,91,San Antonio Spurs,103,Box Score,,0,
179,"Sat, Jan 16, 2021",6:00p,Orlando Magic,115,Brooklyn Nets,122,Box Score,,0,
180,"Sat, Jan 16, 2021",7:30p,Charlotte Hornets,113,Toronto Raptors,116,Box Score,,0,
181,"Sat, Jan 16, 2021",8:00p,Philadelphia 76ers,104,Memphis Grizzlies,106,Box Score,,206,
182,"Sat, Jan 16, 2021",8:00p,Detroit Pistons,120,Miami Heat,100,Box Score,,0,
183,"Sat, Jan 16, 2021",10:00p,Atlanta Hawks,106,Portland Trail Blazers,112,Box Score,,0,
184,"Sun, Jan 17, 2021",1:00p,New York Knicks,105,Boston Celtics,75,Box Score,,0,
185,"Sun, Jan 17, 2021",3:00p,Chicago Bulls,117,Dallas Mavericks,101,Box Score,,0,
186,"Sun, Jan 17, 2021",8:00p,Utah Jazz,109,Denver Nuggets,105,Box Score,,0,
187,"Sun, Jan 17, 2021",9:00p,New Orleans Pelicans,128,Sacramento Kings,123,Box Score,,0,
188,"Sun, Jan 17, 2021",10:00p,Indiana Pacers,96,Los Angeles Clippers,129,Box Score,,0,
189,"Mon, Jan 18, 2021",12:00p,Orlando Magic,84,New York Knicks,91,Box Score,,0,
190,"Mon, Jan 18, 2021",2:30p,Minnesota Timberwolves,97,Atlanta Hawks,108,Box Score,,0,
191,"Mon, Jan 18, 2021",3:00p,San Antonio Spurs,125,Portland Trail Blazers,104,Box Score,,0,
192,"Mon, Jan 18, 2021",5:00p,Phoenix Suns,104,Memphis Grizzlies,108,Box Score,,204,
193,"Mon, Jan 18, 2021",7:30p,Milwaukee Bucks,123,Brooklyn Nets,125,Box Score,,0,
194,"Mon, Jan 18, 2021",7:30p,Dallas Mavericks,93,Toronto Raptors,116,Box Score,,0,
195,"Mon, Jan 18, 2021",8:00p,Houston Rockets,120,Chicago Bulls,125,Box Score,,0,
196,"Mon, Jan 18, 2021",8:00p,Detroit Pistons,107,Miami Heat,113,Box Score,,0,
197,"Mon, Jan 18, 2021",10:00p,Golden State Warriors,115,Los Angeles Lakers,113,Box Score,,0,
198,"Tue, Jan 19, 2021",9:00p,Oklahoma City Thunder,101,Denver Nuggets,119,Box Score,,0,
199,"Tue, Jan 19, 2021",9:00p,New Orleans Pelicans,102,Utah Jazz,118,Box Score,,"1,932",
200,"Wed, Jan 20, 2021",7:00p,Brooklyn Nets,135,Cleveland Cavaliers,147,Box Score,2OT,"1,944",
201,"Wed, Jan 20, 2021",7:00p,Dallas Mavericks,124,Indiana Pacers,112,Box Score,,0,
202,"Wed, Jan 20, 2021",7:00p,Boston Celtics,109,Philadelphia 76ers,117,Box Score,,0,
203,"Wed, Jan 20, 2021",7:30p,Detroit Pistons,115,Atlanta Hawks,123,Box Score,OT,0,
204,"Wed, Jan 20, 2021",7:30p,Miami Heat,111,Toronto Raptors,102,Box Score,,0,
205,"Wed, Jan 20, 2021",8:00p,Orlando Magic,97,Minnesota Timberwolves,96,Box Score,,0,
206,"Wed, Jan 20, 2021",9:30p,Phoenix Suns,109,Houston Rockets,103,Box Score,,"3,022",
207,"Wed, Jan 20, 2021",10:00p,San Antonio Spurs,99,Golden State Warriors,121,Box Score,,0,
208,"Wed, Jan 20, 2021",10:00p,Sacramento Kings,96,Los Angeles Clippers,115,Box Score,,0,
209,"Thu, Jan 21, 2021",7:30p,Los Angeles Lakers,113,Milwaukee Bucks,106,Box Score,,0,
210,"Thu, Jan 21, 2021",10:00p,New York Knicks,119,Golden State Warriors,104,Box Score,,0,
211,"Thu, Jan 21, 2021",10:00p,New Orleans Pelicans,118,Utah Jazz,129,Box Score,,"1,932",
212,"Fri, Jan 22, 2021",7:00p,Chicago Bulls,123,Charlotte Hornets,110,Box Score,,0,
213,"Fri, Jan 22, 2021",7:00p,Houston Rockets,103,Detroit Pistons,102,Box Score,,0,
214,"Fri, Jan 22, 2021",7:00p,Orlando Magic,118,Indiana Pacers,120,Box Score,OT,0,
215,"Fri, Jan 22, 2021",7:30p,Brooklyn Nets,113,Cleveland Cavaliers,125,Box Score,,"1,944",
216,"Fri, Jan 22, 2021",7:30p,Boston Celtics,110,Philadelphia 76ers,122,Box Score,,0,
217,"Fri, Jan 22, 2021",7:30p,Miami Heat,81,Toronto Raptors,101,Box Score,,0,
218,"Fri, Jan 22, 2021",8:00p,Atlanta Hawks,116,Minnesota Timberwolves,98,Box Score,,0,
219,"Fri, Jan 22, 2021",8:30p,Dallas Mavericks,122,San Antonio Spurs,117,Box Score,,0,
220,"Fri, Jan 22, 2021",10:00p,Oklahoma City Thunder,106,Los Angeles Clippers,120,Box Score,,0,
221,"Fri, Jan 22, 2021",10:00p,Denver Nuggets,130,Phoenix Suns,126,Box Score,OT,0,
222,"Fri, Jan 22, 2021",10:00p,New York Knicks,94,Sacramento Kings,103,Box Score,,0,
223,"Sat, Jan 23, 2021",8:00p,Miami Heat,124,Brooklyn Nets,128,Box Score,,0,
224,"Sat, Jan 23, 2021",8:00p,Philadelphia 76ers,114,Detroit Pistons,110,Box Score,,0,
225,"Sat, Jan 23, 2021",8:00p,New Orleans Pelicans,110,Minnesota Timberwolves,120,Box Score,,0,
226,"Sat, Jan 23, 2021",9:00p,Los Angeles Lakers,101,Chicago Bulls,90,Box Score,,0,
227,"Sat, Jan 23, 2021",9:00p,Houston Rockets,133,Dallas Mavericks,108,Box Score,,0,
228,"Sat, Jan 23, 2021",9:00p,Denver Nuggets,120,Phoenix Suns,112,Box Score,2OT,0,
229,"Sat, Jan 23, 2021",9:00p,Golden State Warriors,108,Utah Jazz,127,Box Score,,"1,932",
230,"Sun, Jan 24, 2021",1:00p,Toronto Raptors,107,Indiana Pacers,102,Box Score,,0,
231,"Sun, Jan 24, 2021",4:00p,Oklahoma City Thunder,100,Los Angeles Clippers,108,Box Score,,0,
232,"Sun, Jan 24, 2021",7:00p,Cleveland Cavaliers,103,Boston Celtics,141,Box Score,,0,
233,"Sun, Jan 24, 2021",7:00p,Charlotte Hornets,107,Orlando Magic,104,Box Score,,"3,507",
234,"Sun, Jan 24, 2021",8:00p,Atlanta Hawks,115,Milwaukee Bucks,129,Box Score,,0,
235,"Sun, Jan 24, 2021",8:00p,Washington Wizards,101,San Antonio Spurs,121,Box Score,,0,
236,"Sun, Jan 24, 2021",10:00p,New York Knicks,113,Portland Trail Blazers,116,Box Score,,0,
237,"Mon, Jan 25, 2021",7:00p,Philadelphia 76ers,104,Detroit Pistons,119,Box Score,,0,
238,"Mon, Jan 25, 2021",7:00p,Toronto Raptors,114,Indiana Pacers,129,Box Score,,0,
239,"Mon, Jan 25, 2021",7:00p,Charlotte Hornets,108,Orlando Magic,117,Box Score,,"3,167",
240,"Mon, Jan 25, 2021",7:30p,Miami Heat,85,Brooklyn Nets,98,Box Score,,0,
241,"Mon, Jan 25, 2021",8:00p,Los Angeles Lakers,115,Cleveland Cavaliers,108,Box Score,,0,
242,"Mon, Jan 25, 2021",8:30p,Denver Nuggets,117,Dallas Mavericks,113,Box Score,,0,
243,"Mon, Jan 25, 2021",9:00p,Boston Celtics,119,Chicago Bulls,103,Box Score,,0,
244,"Mon, Jan 25, 2021",10:00p,Minnesota Timberwolves,108,Golden State Warriors,130,Box Score,,0,
245,"Mon, Jan 25, 2021",10:00p,Oklahoma City Thunder,125,Portland Trail Blazers,122,Box Score,,0,
246,"Tue, Jan 26, 2021",7:30p,Los Angeles Clippers,99,Atlanta Hawks,108,Box Score,,"1,180",
247,"Tue, Jan 26, 2021",8:00p,Washington Wizards,88,Houston Rockets,107,Box Score,,"2,996",
248,"Tue, Jan 26, 2021",9:00p,New York Knicks,94,Utah Jazz,108,Box Score,,"1,932",
249,"Wed, Jan 27, 2021",7:00p,Indiana Pacers,116,Charlotte Hornets,106,Box Score,,0,
250,"Wed, Jan 27, 2021",7:00p,Detroit Pistons,107,Cleveland Cavaliers,122,Box Score,,"1,944",
251,"Wed, Jan 27, 2021",7:00p,Sacramento Kings,121,Orlando Magic,107,Box Score,,"3,216",
252,"Wed, Jan 27, 2021",7:30p,Brooklyn Nets,132,Atlanta Hawks,128,Box Score,OT,"1,008",
