,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Tue, Oct 16, 2018",8:00p,Philadelphia 76ers,87,Boston Celtics,105,Box Score,,"18,624",
1,"Tue, Oct 16, 2018",10:30p,Oklahoma City Thunder,100,Golden State Warriors,108,Box Score,,"19,596",
2,"Wed, Oct 17, 2018",7:00p,Milwaukee Bucks,113,Charlotte Hornets,112,Box Score,,"17,889",
3,"Wed, Oct 17, 2018",7:00p,Brooklyn Nets,100,Detroit Pistons,103,Box Score,,"20,332",
4,"Wed, Oct 17, 2018",7:00p,Memphis Grizzlies,83,Indiana Pacers,111,Box Score,,"17,923",
5,"Wed, Oct 17, 2018",7:00p,Miami Heat,101,Orlando Magic,104,Box Score,,"19,191",
6,"Wed, Oct 17, 2018",7:30p,Atlanta Hawks,107,New York Knicks,126,Box Score,,"18,249",
7,"Wed, Oct 17, 2018",7:30p,Cleveland Cavaliers,104,Toronto Raptors,116,Box Score,,"19,915",
8,"Wed, Oct 17, 2018",8:00p,New Orleans Pelicans,131,Houston Rockets,112,Box Score,,"18,055",
9,"Wed, Oct 17, 2018",8:30p,Minnesota Timberwolves,108,San Antonio Spurs,112,Box Score,,"18,354",
10,"Wed, Oct 17, 2018",10:00p,Utah Jazz,123,Sacramento Kings,117,Box Score,,"17,583",
11,"Wed, Oct 17, 2018",10:30p,Denver Nuggets,107,Los Angeles Clippers,98,Box Score,,"19,068",
12,"Wed, Oct 17, 2018",10:30p,Dallas Mavericks,100,Phoenix Suns,121,Box Score,,"18,055",
13,"Thu, Oct 18, 2018",8:00p,Chicago Bulls,108,Philadelphia 76ers,127,Box Score,,"20,302",
14,"Thu, Oct 18, 2018",8:00p,Miami Heat,113,Washington Wizards,112,Box Score,,"20,409",
15,"Thu, Oct 18, 2018",10:30p,Los Angeles Lakers,119,Portland Trail Blazers,128,Box Score,,"19,996",
16,"Fri, Oct 19, 2018",7:00p,Charlotte Hornets,120,Orlando Magic,88,Box Score,,"17,668",
17,"Fri, Oct 19, 2018",7:30p,New York Knicks,105,Brooklyn Nets,107,Box Score,,"17,732",
18,"Fri, Oct 19, 2018",8:00p,Atlanta Hawks,117,Memphis Grizzlies,131,Box Score,,"17,019",
19,"Fri, Oct 19, 2018",8:00p,Cleveland Cavaliers,123,Minnesota Timberwolves,131,Box Score,,"18,978",
20,"Fri, Oct 19, 2018",8:00p,Sacramento Kings,129,New Orleans Pelicans,149,Box Score,,"18,337",
21,"Fri, Oct 19, 2018",8:00p,Boston Celtics,101,Toronto Raptors,113,Box Score,,"19,800",
22,"Fri, Oct 19, 2018",8:30p,Indiana Pacers,101,Milwaukee Bucks,118,Box Score,,"17,341",
23,"Fri, Oct 19, 2018",10:30p,Oklahoma City Thunder,92,Los Angeles Clippers,108,Box Score,,"14,816",
24,"Fri, Oct 19, 2018",10:30p,Golden State Warriors,124,Utah Jazz,123,Box Score,,"18,306",
25,"Sat, Oct 20, 2018",7:00p,Brooklyn Nets,112,Indiana Pacers,132,Box Score,,"17,007",
26,"Sat, Oct 20, 2018",7:00p,Toronto Raptors,117,Washington Wizards,113,Box Score,,"16,185",
27,"Sat, Oct 20, 2018",7:30p,Boston Celtics,103,New York Knicks,101,Box Score,,"19,427",
28,"Sat, Oct 20, 2018",7:30p,Orlando Magic,115,Philadelphia 76ers,116,Box Score,,"20,300",
29,"Sat, Oct 20, 2018",8:00p,Detroit Pistons,118,Chicago Bulls,116,Box Score,,"21,289",
30,"Sat, Oct 20, 2018",8:00p,Charlotte Hornets,113,Miami Heat,112,Box Score,,"19,600",
31,"Sat, Oct 20, 2018",8:30p,Minnesota Timberwolves,136,Dallas Mavericks,140,Box Score,,"20,205",
32,"Sat, Oct 20, 2018",9:00p,Phoenix Suns,91,Denver Nuggets,119,Box Score,,"19,592",
33,"Sat, Oct 20, 2018",10:00p,San Antonio Spurs,108,Portland Trail Blazers,121,Box Score,,"19,461",
34,"Sat, Oct 20, 2018",10:30p,Houston Rockets,124,Los Angeles Lakers,115,Box Score,,"18,997",
35,"Sun, Oct 21, 2018",6:00p,Atlanta Hawks,133,Cleveland Cavaliers,111,Box Score,,"19,432",
36,"Sun, Oct 21, 2018",7:00p,Sacramento Kings,131,Oklahoma City Thunder,120,Box Score,,"18,203",
37,"Sun, Oct 21, 2018",8:00p,Golden State Warriors,98,Denver Nuggets,100,Box Score,,"19,520",
38,"Sun, Oct 21, 2018",9:00p,Houston Rockets,112,Los Angeles Clippers,115,Box Score,,"16,149",
39,"Mon, Oct 22, 2018",7:30p,Orlando Magic,93,Boston Celtics,90,Box Score,,"18,624",
40,"Mon, Oct 22, 2018",7:30p,Charlotte Hornets,106,Toronto Raptors,127,Box Score,,"19,800",
41,"Mon, Oct 22, 2018",8:00p,New York Knicks,113,Milwaukee Bucks,124,Box Score,,"16,228",
42,"Mon, Oct 22, 2018",8:00p,Indiana Pacers,91,Minnesota Timberwolves,101,Box Score,,"10,371",
43,"Mon, Oct 22, 2018",8:30p,Chicago Bulls,109,Dallas Mavericks,115,Box Score,,"19,291",
44,"Mon, Oct 22, 2018",9:00p,Memphis Grizzlies,92,Utah Jazz,84,Box Score,,"18,306",
45,"Mon, Oct 22, 2018",10:00p,Washington Wizards,125,Portland Trail Blazers,124,Box Score,OT,"19,187",
46,"Mon, Oct 22, 2018",10:30p,Phoenix Suns,103,Golden State Warriors,123,Box Score,,"19,596",
47,"Mon, Oct 22, 2018",10:30p,San Antonio Spurs,143,Los Angeles Lakers,142,Box Score,OT,"18,997",
48,"Tue, Oct 23, 2018",7:00p,Philadelphia 76ers,132,Detroit Pistons,133,Box Score,OT,"14,418",
49,"Tue, Oct 23, 2018",8:00p,Los Angeles Clippers,109,New Orleans Pelicans,116,Box Score,,"14,625",
50,"Tue, Oct 23, 2018",9:00p,Sacramento Kings,112,Denver Nuggets,126,Box Score,,"13,214",
51,"Wed, Oct 24, 2018",7:00p,Dallas Mavericks,104,Atlanta Hawks,111,Box Score,,"16,705",
52,"Wed, Oct 24, 2018",7:00p,Brooklyn Nets,102,Cleveland Cavaliers,86,Box Score,,"19,432",
53,"Wed, Oct 24, 2018",7:30p,New York Knicks,87,Miami Heat,110,Box Score,,"19,600",
54,"Wed, Oct 24, 2018",7:30p,Minnesota Timberwolves,105,Toronto Raptors,112,Box Score,,"19,800",
55,"Wed, Oct 24, 2018",8:00p,Charlotte Hornets,110,Chicago Bulls,112,Box Score,,"19,170",
56,"Wed, Oct 24, 2018",8:00p,Utah Jazz,100,Houston Rockets,89,Box Score,,"18,055",
57,"Wed, Oct 24, 2018",8:30p,Indiana Pacers,116,San Antonio Spurs,96,Box Score,,"18,354",
58,"Wed, Oct 24, 2018",9:30p,Philadelphia 76ers,108,Milwaukee Bucks,123,Box Score,,"17,341",
59,"Wed, Oct 24, 2018",10:00p,Los Angeles Lakers,131,Phoenix Suns,113,Box Score,,"18,055",
60,"Wed, Oct 24, 2018",10:00p,Memphis Grizzlies,92,Sacramento Kings,97,Box Score,,"14,198",
61,"Wed, Oct 24, 2018",10:30p,Washington Wizards,122,Golden State Warriors,144,Box Score,,"19,596",
62,"Thu, Oct 25, 2018",7:00p,Cleveland Cavaliers,103,Detroit Pistons,110,Box Score,,"15,896",
63,"Thu, Oct 25, 2018",7:00p,Portland Trail Blazers,128,Orlando Magic,114,Box Score,,"15,114",
64,"Thu, Oct 25, 2018",8:00p,Boston Celtics,101,Oklahoma City Thunder,95,Box Score,,"18,203",
65,"Thu, Oct 25, 2018",10:30p,Denver Nuggets,114,Los Angeles Lakers,121,Box Score,,"18,997",
66,"Fri, Oct 26, 2018",7:00p,Chicago Bulls,106,Charlotte Hornets,135,Box Score,,"15,220",
67,"Fri, Oct 26, 2018",7:30p,Golden State Warriors,128,New York Knicks,100,Box Score,,"19,812",
68,"Fri, Oct 26, 2018",7:30p,Dallas Mavericks,107,Toronto Raptors,116,Box Score,,"19,800",
69,"Fri, Oct 26, 2018",8:00p,Los Angeles Clippers,133,Houston Rockets,113,Box Score,,"18,055",
70,"Fri, Oct 26, 2018",8:00p,Milwaukee Bucks,125,Minnesota Timberwolves,95,Box Score,,"16,334",
71,"Fri, Oct 26, 2018",8:00p,Brooklyn Nets,115,New Orleans Pelicans,117,Box Score,,"15,272",
72,"Fri, Oct 26, 2018",10:00p,Washington Wizards,112,Sacramento Kings,116,Box Score,,"14,101",
73,"Sat, Oct 27, 2018",7:00p,Boston Celtics,109,Detroit Pistons,89,Box Score,,"18,120",
74,"Sat, Oct 27, 2018",7:00p,Utah Jazz,132,New Orleans Pelicans,111,Box Score,,"16,373",
75,"Sat, Oct 27, 2018",7:30p,Chicago Bulls,97,Atlanta Hawks,85,Box Score,,"15,549",
76,"Sat, Oct 27, 2018",7:30p,Indiana Pacers,119,Cleveland Cavaliers,107,Box Score,,"19,432",
77,"Sat, Oct 27, 2018",7:30p,Charlotte Hornets,103,Philadelphia 76ers,105,Box Score,,"20,203",
78,"Sat, Oct 27, 2018",8:00p,Phoenix Suns,96,Memphis Grizzlies,117,Box Score,,"15,926",
79,"Sat, Oct 27, 2018",8:00p,Portland Trail Blazers,111,Miami Heat,120,Box Score,,"19,600",
80,"Sat, Oct 27, 2018",8:30p,Orlando Magic,91,Milwaukee Bucks,113,Box Score,,"17,341",
81,"Sat, Oct 27, 2018",8:30p,Los Angeles Lakers,106,San Antonio Spurs,110,Box Score,,"18,589",
82,"Sun, Oct 28, 2018",5:00p,Golden State Warriors,120,Brooklyn Nets,114,Box Score,,"17,732",
83,"Sun, Oct 28, 2018",7:00p,Utah Jazz,113,Dallas Mavericks,104,Box Score,,"19,571",
84,"Sun, Oct 28, 2018",7:00p,Phoenix Suns,110,Oklahoma City Thunder,117,Box Score,,"18,203",
85,"Sun, Oct 28, 2018",9:30p,Washington Wizards,104,Los Angeles Clippers,136,Box Score,,"16,491",
86,"Mon, Oct 29, 2018",7:00p,Portland Trail Blazers,103,Indiana Pacers,93,Box Score,,"15,788",
87,"Mon, Oct 29, 2018",7:00p,Atlanta Hawks,92,Philadelphia 76ers,113,Box Score,,"20,269",
88,"Mon, Oct 29, 2018",7:30p,Sacramento Kings,123,Miami Heat,113,Box Score,,"19,600",
89,"Mon, Oct 29, 2018",7:30p,Brooklyn Nets,96,New York Knicks,115,Box Score,,"19,221",
90,"Mon, Oct 29, 2018",8:00p,Golden State Warriors,149,Chicago Bulls,124,Box Score,,"21,076",
91,"Mon, Oct 29, 2018",8:00p,Toronto Raptors,109,Milwaukee Bucks,124,Box Score,,"17,341",
